id,artistName,endTime,msPlayed,trackName
2327,Nu Aspect,2023-11-24 00:18:00,192122,Afterlife
2328,Ruffnux,2023-11-24 00:21:00,150000,Gravity
2329,Jane Good,2023-11-24 00:21:00,7564,The One
2330,Lyrah,2023-11-24 00:23:00,159000,In the Leaves
2331,Nu Aspect,2023-11-24 00:27:00,194107,Miss You
2332,Jane Good,2023-11-24 00:29:00,122625,Keeps Me High
2333,Lonely in the Rain,2023-11-24 00:31:00,155010,Chasing My Dreams
2334,Piece Wise,2023-11-24 00:34:00,163410,Found It With You
2335,Luca,2023-11-24 00:36:00,138000,Keep You Away
2336,Lost In Pacific,2023-11-24 00:39:00,150545,Beside Me
2337,Nu Aspect,2023-11-24 00:42:00,192122,Afterlife
2338,Ruffnux,2023-11-24 09:08:00,2587,Gravity
2339,Lyrah,2023-11-24 09:11:00,159000,In the Leaves
2340,Nu Aspect,2023-11-24 09:14:00,194107,Miss You
2341,Jane Good,2023-11-24 09:16:00,122625,Keeps Me High
2342,Lonely in the Rain,2023-11-24 09:34:00,9013,Chasing My Dreams
2343,Lonely in the Rain,2023-11-24 09:34:00,53715,Chasing My Dreams
2344,Lyrah,2023-11-24 09:36:00,9520,In the Leaves
2345,Lyrah,2023-11-24 09:36:00,84149,In the Leaves
2346,Lyrah,2023-11-24 09:37:00,66831,In the Leaves
2347,Nu Aspect,2023-11-24 09:40:00,194107,Miss You
2348,Luca,2023-11-24 09:41:00,1077,Keep You Away
2349,Lost In Pacific,2023-11-24 09:41:00,5471,Beside Me
2350,Coffee Cub,2023-11-24 09:41:00,37112,I Need You
2351,Sole Sole,2023-11-24 09:43:00,128823,Always Together
2352,Lyrah,2023-11-24 09:46:00,159000,In the Leaves
2353,Sheena Ringo,2023-11-24 09:46:00,8275,長く短い祭
2354,Lyrah,2023-11-24 09:49:00,159000,In the Leaves
2355,Nu Aspect,2023-11-24 09:52:00,194107,Miss You
2356,Coffee Cub,2023-11-24 09:54:00,141453,I Need You
2357,Luca,2023-11-24 09:56:00,138000,Keep You Away
2358,Lost In Pacific,2023-11-24 09:59:00,150545,Beside Me
2359,Ruffnux,2023-11-24 10:01:00,150000,Gravity
2360,Marc Benjamin,2023-11-24 10:04:00,154500,Light A Fire
2361,Nu Aspect,2023-11-24 10:07:00,148893,Something Real
2362,Coffee Cub,2023-11-24 10:09:00,145833,Ibiza
2363,Lyrah,2023-11-24 10:36:00,159000,In the Leaves
2364,Jane Good,2023-11-24 10:38:00,1277,Keeps Me High
2365,Nu Aspect,2023-11-24 10:38:00,116376,Miss You
2366,Lonely in the Rain,2023-11-24 10:38:00,6989,Chasing My Dreams
2367,Piece Wise,2023-11-24 11:55:00,71752,Found It With You
2368,Lyrah,2023-11-24 11:58:00,159000,In the Leaves
2369,Nu Aspect,2023-11-24 12:01:00,194107,Miss You
2370,Jane Good,2023-11-24 12:03:00,122625,Keeps Me High
2371,Lonely in the Rain,2023-11-24 12:04:00,139073,Chasing My Dreams
2372,Lonely in the Rain,2023-11-24 12:06:00,155010,Chasing My Dreams
2373,Piece Wise,2023-11-24 12:08:00,163410,Found It With You
2374,Luca,2023-11-24 12:11:00,138000,Keep You Away
2375,Lost In Pacific,2023-11-24 12:13:00,150545,Beside Me
2376,Nu Aspect,2023-11-24 12:16:00,192122,Afterlife
2377,Ruffnux,2023-11-24 12:18:00,88603,Gravity
2378,Jane Good,2023-11-24 12:18:00,2005,The One
2379,MALOYA,2023-11-24 12:18:00,2069,Without You
2380,Kidswaste,2023-11-24 12:18:00,2261,Home
2381,Sole Sole,2023-11-24 12:20:00,128823,Always Together
2382,Lyrah,2023-11-24 12:22:00,113860,Dream You Better
2383,Lavern,2023-11-24 12:24:00,142674,Sunshine
2384,Coffee Cub,2023-11-24 12:25:00,63210,I Need You
2385,Lyrah,2023-11-24 12:28:00,159000,In the Leaves
2386,Nu Aspect,2023-11-24 12:31:00,194107,Miss You
2387,Jane Good,2023-11-24 12:33:00,122625,Keeps Me High
2388,Lonely in the Rain,2023-11-24 12:36:00,155010,Chasing My Dreams
2389,Piece Wise,2023-11-24 12:39:00,163410,Found It With You
2390,Luca,2023-11-24 12:41:00,138000,Keep You Away
2391,Lost In Pacific,2023-11-24 12:43:00,150545,Beside Me
2392,Nu Aspect,2023-11-24 12:45:00,70836,Afterlife
2393,Ruffnux,2023-11-24 12:47:00,150000,Gravity
2394,Jane Good,2023-11-24 12:49:00,125347,The One
2395,MALOYA,2023-11-24 12:52:00,138782,Without You
2396,Kidswaste,2023-11-24 12:54:00,157783,Home
2397,Sole Sole,2023-11-24 12:56:00,128823,Always Together
2398,Lyrah,2023-11-24 12:58:00,113860,Dream You Better
2399,Lavern,2023-11-24 13:01:00,142674,Sunshine
2400,Coffee Cub,2023-11-24 13:01:00,37541,I Need You
2401,PALASTIC,2023-11-24 13:03:00,125525,Through the Fire
2402,Nu Aspect,2023-11-24 13:04:00,5205,Something Real
2403,Sole Sole,2023-11-24 13:06:00,139563,Coast Ride
2404,Luca,2023-11-24 13:08:00,122086,Leaving Ground - 2022 Edit
2405,rayn,2023-11-24 13:10:00,131886,hold me now
2406,Coffee Cub,2023-11-24 13:13:00,145833,Ibiza
2407,Angrybaby,2023-11-24 13:15:00,174545,HOLD YOU
2408,Nu Aspect,2023-11-24 13:17:00,85142,If You Wanna
2409,Lyrah,2023-11-24 13:20:00,159000,In the Leaves
2410,Nu Aspect,2023-11-24 13:23:00,194107,Miss You
2411,Jane Good,2023-11-24 13:25:00,122625,Keeps Me High
2412,Lonely in the Rain,2023-11-24 13:27:00,155010,Chasing My Dreams
2413,Piece Wise,2023-11-24 13:30:00,163410,Found It With You
2414,Luca,2023-11-24 13:32:00,138000,Keep You Away
2415,Lost In Pacific,2023-11-24 13:35:00,150545,Beside Me
2416,Nu Aspect,2023-11-24 13:38:00,192122,Afterlife
2417,Ruffnux,2023-11-24 15:43:00,109317,Gravity
2418,Lyrah,2023-11-24 15:46:00,159000,In the Leaves
2419,Nu Aspect,2023-11-24 15:49:00,194107,Miss You
2420,Jane Good,2023-11-24 15:51:00,122625,Keeps Me High
2421,Lonely in the Rain,2023-11-24 15:53:00,155010,Chasing My Dreams
2422,Piece Wise,2023-11-24 15:56:00,163410,Found It With You
2423,Luca,2023-11-24 15:58:00,138000,Keep You Away
2424,Lost In Pacific,2023-11-24 16:01:00,150545,Beside Me
2425,Nu Aspect,2023-11-24 16:04:00,192122,Afterlife
2426,Ruffnux,2023-11-24 16:07:00,150000,Gravity
2427,Jane Good,2023-11-24 16:09:00,125347,The One
2428,MALOYA,2023-11-24 16:11:00,138782,Without You
2429,Kidswaste,2023-11-24 16:14:00,157783,Home
2430,Sole Sole,2023-11-24 16:16:00,128823,Always Together
2431,Lyrah,2023-11-24 16:18:00,113860,Dream You Better
2432,Lavern,2023-11-24 16:20:00,142674,Sunshine
2433,Coffee Cub,2023-11-24 16:23:00,141453,I Need You
2434,PALASTIC,2023-11-24 16:25:00,149374,Through the Fire
2435,Nu Aspect,2023-11-24 16:28:00,148893,Something Real
2436,Sole Sole,2023-11-24 16:30:00,139563,Coast Ride
2437,Luca,2023-11-24 16:32:00,122086,Leaving Ground - 2022 Edit
2438,rayn,2023-11-24 16:34:00,131886,hold me now
2439,Coffee Cub,2023-11-24 16:37:00,145833,Ibiza
2440,Angrybaby,2023-11-24 16:40:00,174545,HOLD YOU
2441,Nu Aspect,2023-11-24 16:43:00,121041,If You Wanna
2442,Lyrah,2023-11-24 16:46:00,159000,In the Leaves
2443,Nu Aspect,2023-11-24 16:50:00,98356,Miss You
2444,Lyrah,2023-11-24 16:50:00,6304,In the Leaves
2445,Lyrah,2023-11-24 16:53:00,159000,In the Leaves
2446,Nu Aspect,2023-11-24 16:56:00,194107,Miss You
2447,Jane Good,2023-11-24 16:58:00,122625,Keeps Me High
2448,Lonely in the Rain,2023-11-24 17:00:00,155010,Chasing My Dreams
2449,Piece Wise,2023-11-24 17:03:00,163410,Found It With You
2450,Luca,2023-11-24 17:05:00,138000,Keep You Away
2451,Lost In Pacific,2023-11-24 17:08:00,150545,Beside Me
2452,Nu Aspect,2023-11-24 17:11:00,192122,Afterlife
2453,Ruffnux,2023-11-24 17:14:00,150000,Gravity
2454,Jane Good,2023-11-24 17:16:00,125347,The One
2455,MALOYA,2023-11-24 17:18:00,138782,Without You
2456,Kidswaste,2023-11-24 17:21:00,157783,Home
2457,Sole Sole,2023-11-24 17:23:00,128823,Always Together
2458,Lyrah,2023-11-24 17:25:00,113860,Dream You Better
2459,Lavern,2023-11-24 17:27:00,142674,Sunshine
2460,Coffee Cub,2023-11-24 17:30:00,141453,I Need You
2461,Luca,2023-11-24 17:32:00,139826,Be Alive - 2022 Edit
2462,Piece Wise,2023-11-24 17:35:00,163410,Found It With You
2463,Keanler,2023-11-24 17:38:00,173798,Different Light
2464,PALASTIC,2023-11-24 17:40:00,149374,Through the Fire
2465,Angrybaby,2023-11-24 17:43:00,174545,HOLD YOU
2466,Tim Olsson,2023-11-24 17:44:00,35559,Sweet Escape
2467,Lyrah,2023-11-24 17:46:00,159000,In the Leaves
2468,Nu Aspect,2023-11-24 17:49:00,194107,Miss You
2469,Friends & I,2023-11-24 17:51:00,3854,Does It Mean I Love U
2470,Luca,2023-11-24 17:51:00,3924,Leaving Ground - 2022 Edit
2471,Coffee Cub,2023-11-24 17:51:00,93016,Ibiza
2472,Sole Sole,2023-11-24 17:53:00,128823,Always Together
2473,Marc Benjamin,2023-11-24 17:56:00,154500,Light A Fire
2474,NORRA,2023-11-24 17:58:00,149000,Home
2475,Dizaro,2023-11-24 18:01:00,158400,Evermore
2476,PALASTIC,2023-11-24 18:04:00,164181,I Care
2477,Astrality,2023-11-24 18:07:00,181251,Lost in You
2478,Little Venice,2023-11-24 18:09:00,119143,Take It Back
2479,Lavern,2023-11-24 18:12:00,4435,Golden Sunset
2480,Emmit Fenn,2023-11-24 18:12:00,182422,Until We Leave the Ground - Steve James Remix
2481,Lyrah,2023-11-24 18:15:00,159000,In the Leaves
2482,Nu Aspect,2023-11-24 18:18:00,194107,Miss You
2483,Coffee Cub,2023-11-24 18:20:00,145833,Ibiza
2484,Luca,2023-11-24 18:23:00,138000,Keep You Away
2485,Lost In Pacific,2023-11-24 18:25:00,150545,Beside Me
2486,Ruffnux,2023-11-24 18:28:00,150000,Gravity
2487,Marc Benjamin,2023-11-24 18:30:00,154500,Light A Fire
2488,Nu Aspect,2023-11-24 18:33:00,192122,Afterlife
2489,Jane Good,2023-11-24 18:35:00,125347,The One
